Cont.Núm -  ordem termino, ordem termino,,,,,,,,,,
filho,1,2,3,4,5,6,7,8,9,10,Total Resultado
1,150,,,,,,,,,,150
2,,150,,,,,,,,,150
3,,,149,,,,,1,,,150
4,,,1,149,,,,,,,150
5,,,,1,149,,,,,,150
6,,,,,1,148,1,,,,150
7,,,,,,2,147,,,1,150
8,,,,,,,2,146,2,,150
9,,,,,,,,3,146,1,150
10,,,,,,,,,2,148,150
Total Resultado,150,150,150,150,150,150,150,150,150,150,1500
